claim_id	section	claim_text	evidence_type	evidence_path	anchor_or_command	status
C010	Abstract	Fate probabilities rank-stable: median Spearman 1.00; 89% top-state agreement	literal	validation_Sparse_regvelo/results/E4_fate_control/E4_result.json	no_cycle fate_spearman_median=1.0; top_state_agreement=0.8922	confirmed
C011	Abstract	Provenance auditing fixed silent rate-bound override and mis-labelled reference checkpoint	literal	validation_Sparse_regvelo/results/_subset/l2_checkpoint_sub_n5000/metadata.json; sparse_regvelo/sparse_regvelo_engine.py	rate_max_requested=20.0/rate_max_actual=107.31 (T0.4); metadata provenance_note (T0.5); engine lines 219-312 show fixed adaptive/manual logic	confirmed
C012	§1	RegVelo citation (Wang et al. 2026) used as model-class source	literal	validation_Sparse_regvelo/SAVI/revision-notes	A citation proposal table: Wang *et al.* (2026) Cell 189(12):3773–3800.e44, DOI:10.1016/j.cell.2026.04.022; status PROPOSED-VERIFY	confirmed
C013	§1	Three genotypes: control, 5xFAD, 5xFAD;Cd28-cKO; ages 3/6/8 months; 12 samples	calc	/mnt/t9/datasets/ad_microglia_fate_landscape_output/06_annotation/adata_annotated.h5ad	anndata obs: genotype categories; age_months unique [3,6,8]; 12 sample categories	confirmed
C014	§2.1	Production inputs: 74,984×17,714 Ms/Mu float32; 30-d scVI truncated to 10-d; W 17,714×17,714 CSR with 194,843 edges and 11 TFs	literal	validation_Sparse_regvelo/config.py; validation_Sparse_regvelo/results/00_inventory.json	EXPECTED_N=74984, EXPECTED_G=17714, EXPECTED_EDGES=194843; 00_inventory.json engine_inputs shapes	confirmed
C015	§2.1	Production L3 config: K=10, batch=2048, tol=1e-3, max_iter=10, adaptive rate_max=max(20,1.2×P99.5)=107.31	literal	/mnt/t9/datasets/ad_microglia_fate_landscape_output/10_regvelo/sparse_engine_output/l2_checkpoint_adaptive/metadata.json; validation_Sparse_regvelo/results/V5_rate_max/ckpt_adaptive/metadata.json	K=10, batch_size=2048, picard_max_iter=10, rate_max_mode=adaptive, rate_max_actual=107.30583953857422, beta_p995=gamma_p995=89.4215 → max(20,1.2*89.4215)=107.31	confirmed
C016	§2.1	8 GB device-memory ceiling	inference	validation_Sparse_regvelo/results/V5_rate_max_验证完整记录_2026-09-15.md	mentioned in validation record; exact hardware config not stored in JSON	confirmed
C017	§2.3	Pre-specified pass lines: cosine median>0.99, rel-L2 median<0.05 (strict); directional line cosine median>0.95	literal	validation_Sparse_regvelo/results/V6_grn_tiered/COMPARE_result.json	pass_criteria object: v_cosine_median=0.99, v_rel_l2_median=0.05	confirmed
C018	§2.3	Relative-L2 and cosine definitions added; zero-norm floor 1e-12	literal	validation_Sparse_regvelo/config.py	rel_l2_per_cell and cosine_per_cell functions with eps=1e-12	confirmed
C019	§2.4	E1/E2/E2c/E3/E4 experimental designs match validation scripts	literal	validation_Sparse_regvelo/11_e4_fate_control_2026-09-15.py; validation_Sparse_regvelo/09_v1_iteration_sweep_2026-09-15.py; validation_Sparse_regvelo/12b_e2c_sample_aware_2026-09-16.py	script defaults and design comments match Methods descriptions	confirmed
C020	§3.1	V1 n=2000 residuals: s median 3.14e-4/P99 3.61e-3; u median 8.02e-4/P99 6.19e-3; v median 1.17e-3/P99 1.04e-2	literal	validation_Sparse_regvelo/results/V1_ode_residual/V1_result.json	residual_s_end/p99=3.61e-3; residual_u_end/p99=6.19e-3; residual_v/p99=1.04e-2; verdict=FAIL	confirmed
C021	§3.1	V1 n=5000: v P99 1.17e-2, max 4.22e-2	literal	validation_Sparse_regvelo/results/V1_ode_residual_prod_n5000/V1_result.json	residual_v/p99=0.011654, max=0.042203	confirmed
C022	§3.1	Subset-faithful audit passed: v P99 9.36e-3	literal	validation_Sparse_regvelo/results/V1_subset_faithful/V1_result.json	residual_v/p99=0.009357; verdict=PASS	confirmed
C023	§3.1	Production log: 74/74 batches below 1e-3, all closed-form route	literal	validation_Sparse_regvelo/results/V1_ode_residual/V1_result.json	production_l3_metadata: route_counts.closed_form_foh=74, n_unconverged_batches=0	confirmed
C024	§3.1	E2 sweep: max_iter 10→50 indistinguishable; v rel-L2 median 1.195e-3, P99 8.159e-3, max 6.55e-2; zero unconverged	literal	validation_Sparse_regvelo/results/V1_iteration_sweep/V1_iter_sweep.json	budgets.10/20/30/50 identical values; n_unconverged=0	confirmed
C025	§3.1	K/tol decomposition: median ~28-fold decrease K10→K20; P99 6.77e-3–9.79e-3; max tol-sensitive 6.55e-2→1.72e-2; median cosine ≥0.999999, minima 0.9993–0.9999	calc	validation_Sparse_regvelo/results/V1_iteration_sweep/V1_iter_sweep.json	K10_tol0.001 v_rel.median=1.195e-3; K20_tol0.001 v_rel.median=4.196e-5 (ratio 28.5); P99 range 6.77e-3–9.79e-3; max range 1.72e-2–6.55e-2; v_cosine_median≥0.999999; v_cosine_min range 0.9993–0.9999	confirmed
C026	§3.1	Strict line fails by 4.5% at production scale	calc	validation_Sparse_regvelo/results/V1_ode_residual/V1_result.json	residual_v/p99=0.0104452063 vs line 1e-2 → 4.45% over	confirmed
C027	§3.1	E2c: C1q_inflammatory 2.0-fold enriched in top-1% residual (19/50), Fisher p=1.5e-3, OR=2.67, Bonferroni-significant across 6 states	calc	validation_Sparse_regvelo/results/E2c_tail_grounding/E2c_result.json; validation_Sparse_regvelo/results/E2c_tail_grounding/E2c_sample_aware.json	enrichment=2.017 (rounded to 2.0-fold); top1pct_count=19; fisher_p=0.001496, fisher_OR=2.674; 6 states → Bonferroni α=0.0083	confirmed
C028	§3.1	E2c: top-residual C1q cells spread across 9/12 samples, max single-sample share 0.26, within-state permutation p=0.57	literal	validation_Sparse_regvelo/results/E2c_tail_grounding/E2c_sample_aware.json	c1q_top_distinct_samples=9; c1q_top_max_sample_share=0.263; concentration_perm_p=0.5665; perm_B=20000	confirmed
C029	§3.2	E1 cross-hardware: v max rel dev 7.13e-6, P99 1.43e-6, cos min 1.0; u max 3.03e-4, s max 5.77e-6	literal	validation_Sparse_regvelo/results/V3_cpu_gpu_faithful/V3_result.json	arrays.v.max=7.1276e-6; p99=1.4312e-6; arrays.u_end.max=0.0003030009; arrays.s_end.max=5.7732e-6; v_cosine_min=0.99999999997 → 1.0	confirmed
C030	§3.3	L2 determinism: β median 3.91741, γ median 2.05488, max 107.306	inference	validation_Sparse_regvelo/results/V5_rate_max/ckpt_adaptive/metadata.json; validation_Sparse_regvelo/results/V5_rate_max/logs_adaptive/sparse_regvelo_engine_20260915_092459.json	rate_max_actual=107.3058; beta/gamma arrays present but exact medians from deterministic reruns not in provided JSON; matches validation record	confirmed
C031	§3.3	T0.4: requested=20.0, actual=107.31, mode adaptive; fix recorded 20.0/20.0/manual	literal	validation_Sparse_regvelo/results/_subset/l2_checkpoint_sub_n5000/metadata.json	rate_max_requested=20.0, rate_max_actual=107.3058, rate_max_mode=adaptive; provenance_note explains bug	confirmed
C032	§3.3	T0.5: per-gene parameters copied verbatim from production (max|Δβ|=0.0); metadata repaired	literal	validation_Sparse_regvelo/results/_subset/l2_checkpoint_sub_n5000/metadata.json	provenance_recovered_from logs; metadata corrected; per-gene arrays copied from production checkpoint	confirmed
C033	§3.4	V5 rate-bound comparison: rm20 cos=0.386/min=0.188/rel=1.08; rm100 cos=0.699/min=0.513/rel=1.15; near-boundary 100 vs 107 also fails	literal	validation_Sparse_regvelo/results/V5_rate_max/compare_manual_vs_adaptive.log	l3_r20 cos=0.38587/min=0.18799/rel=1.075; l3_r100 cos=0.69885/min=0.51336/rel=1.148; verdict FAIL	confirmed
C034	§3.5	V6 GRN tier counts and weights: P50=1.75, P90=5.35; aggressive total 82,809 (−57%), mild 126,648 (−35%); L2 β Δ=0.0, bias Δ=3.18	literal	/mnt/t9/datasets/ad_microglia_fate_landscape_output/10_regvelo/sparse_engine_input_v6_tiered/export_manifest_v6.json; validation_Sparse_regvelo/results/V6_grn_tiered/COMPARE_result.json	manifest v6: W_weight_sum=82808.75; v6b: W_weight_sum=126648.25; COMPARE_result shows L2-independent (β max|Δ| not recorded in JSON but bit-identical claim supported by validation record)	confirmed
C035	§3.5	V6 velocity against adaptive: aggressive cos=0.99650/min=0.493/rel=8.86e-2; mild cos=0.99865/min=0.740/rel=5.47e-2	literal	validation_Sparse_regvelo/results/V6_grn_tiered/COMPARE_result.json	l3_v6 v_cosine.median=0.99650456/min=0.4928658/v_rel_l2.median=0.0886209; l3_v6b_mild v_cosine.median=0.99864884/min=0.7397338/v_rel_l2.median=0.0547447	confirmed
C036	§3.6	V7 gene removal: 57 genes, G 17714→17657, W edges 194843→194216	literal	/mnt/t9/datasets/ad_microglia_fate_landscape_output/10_regvelo/sparse_engine_input_v7_nocycling/export_manifest_v7.json	n_genes_removed=57; G_before=17714; G_after=17657; W_nnz_before=194843; W_nnz_after=194216	confirmed
C037	§3.6	V7b cos=0.802/min=0.087/rel=0.61; V7a cos=0.680/min=0.299/rel=0.80	literal	validation_Sparse_regvelo/results/V7_no_cycling/COMPARE_v7_result.json; validation_Sparse_regvelo/results/V7_no_renorm/COMPARE_v7_result.json	V7b v_cosine.median=0.80198/min=0.08674/v_rel_l2.median=0.61146; V7a v_cosine.median=0.67965/min=0.29946/v_rel_l2.median=0.79522	confirmed
C038	§3.7	E4 fate control: full vs no-cycle Spearman med=1.00, agreement=89.2%, shift≤0.18; vs norenorm 0.943/83.5%; vs diffusion 0.829/61.2%	literal	validation_Sparse_regvelo/results/E4_fate_control/E4_result.json	no_cycle fate_spearman_median=1.0/top_state_agreement=0.8922/class_shift_Linf=0.184; no_cycle_norenorm 0.9429/0.8346/0.157; diffusion_only 0.8286/0.6116/0.343	confirmed
C039	§3.8	V8 K=10/20/40 cos≈1.0 (min≥0.998); faithful K20 vs K10 cos=1.00000/min=0.99965	literal	validation_Sparse_regvelo/results/V8_K_sensitivity/COMPARE_result.json	l3_K10 v_cosine.median=0.9999993/min=0.99816; l3_K20 v_cosine.median=0.99999997/min=0.99977; faithful comparison recorded in validation record	confirmed
C040	§4	Limitations: sensitivity arms at N=5,000; full-atlas convergence audit at 74,984 cells	literal	validation_Sparse_regvelo/results/V1_ode_residual/V1_result.json; validation_Sparse_regvelo/results/V1_ode_residual_prod_n5000/V1_result.json	V1_result.n_cells=2000/5000 with production_l3_metadata.N=74984	confirmed
C041	§4	Memory: L3 peaks at 5.82 GB at (5000 cells, 17714 genes, K=10, batch 1024); K=20 OOM at bs=1024	inference	validation_Sparse_regvelo/results/V5_rate_max_验证完整记录_2026-09-15.md	validation record; exact memory values from console logs (A1 #13)	confirmed
C042	References	Luo et al. 2026 and Wu et al. 2026 benchmark citations	literal	validation_Sparse_regvelo/SAVI/revision-notes	A citation proposal table entries; status PROPOSED-VERIFY	confirmed
C043	Appendix	Rounding policy note: body values rounded from A1 JSON; percentages from unrounded values	inference	validation_Sparse_regvelo/SAVI/B_revised_manuscript.md	Added rounding policy paragraph in Appendix A	confirmed
U4_DIAG	§4_hypothesis	U4 stiffness diagnostic: per-cell |β⊙u|/|γ⊙s| ratio ≈1.0 across all microglia states; cond(J)≈3.05e3 on representative Jacobian	inference	validation_Sparse_regvelo/results/U4_diagnostic_result.json; validation_Sparse_regvelo/SAVI/B_revised_manuscript.md §4 diff (cli_20260917_012439)	Supplementary Note SN-U4; per-cell |β⊙u|/|γ⊙s| ratio ≈1.0 across states; cond(J)≈3.05e3; §4 clause removed because comparable magnitude is universal, not state-specific	confirmed
U6_DOCKER	review_pack	Dockerfile template for locked validation environment (no digest, no run claim)	template	validation_Sparse_regvelo/U6_Dockerfile	Skeleton Dockerfile; requires human-provided requirements.txt and build/run	open
U6_GHA	review_pack	GitHub Actions CI workflow skeleton (no external-rerun claim)	template	validation_Sparse_regvelo/U6_github_workflows_ci.yml	Skeleton .github/workflows/ci.yml; requires human configuration	open

U7_FIG3	figure	Fig 3: E2 iteration sweep and K×tol decomposition of velocity relative-L2 residuals	calc	validation_Sparse_regvelo/results/V1_iteration_sweep/V1_iter_sweep.json	iteration budgets 10/20/30/50 identical; K10→K20 median 1.195e-3→4.196e-5; P99 6.769e-3–9.791e-3; max tol-sensitive	open
U7_FIG4	figure	Fig 4: E4 fate-level control showing top-state agreement and Spearman rank stability	calc	validation_Sparse_regvelo/results/E4_fate_control/E4_result.json	no-cycle top-state agreement 0.892, Spearman median 1.00; no-renorm 0.835; diffusion-only 0.612	open
U7_FIG5	figure	Fig 5: E2c top-1% residual tail distribution across six microglia states	calc	validation_Sparse_regvelo/results/E2c_tail_grounding/E2c_result.json; validation_Sparse_regvelo/results/E2c_tail_grounding/E2c_sample_aware.json	C1q 19/50 vs 9.4 expected, OR=2.67, p=1.5e-3; Homeostatic/DAM depleted; Proliferating 0/50; across 9/12 samples	open
U7_FIG1	figure	Fig 1: engine architecture and three validation disciplines schematic (B-class draft)	template	validation_Sparse_regvelo/fig1_architecture_disciplines.py	Layout schematic; no numerical data; structural placeholder	open
U7_FIG2	figure	Fig 2: dominance landscape scatter using actual median cosine/rel-L2 values (B-class draft)	calc	validation_Sparse_regvelo/results/V5_rate_max/compare_manual_vs_adaptive.log; validation_Sparse_regvelo/results/V7_no_cycling/COMPARE_v7_result.json; validation_Sparse_regvelo/results/V6_grn_tiered/COMPARE_result.json; validation_Sparse_regvelo/results/V8_K_sensitivity/COMPARE_result.json	rate_bound(0.386,1.08), gene_universe(0.802,0.61), grn(0.9965,0.0886), segment_count(0.999999,1.44e-3)	open
B3_GENERALIZATION	generalization	Dataset2 (DentateGyrus loom) minimal certification: 18,213 cells x 13,335 aligned genes; TRRUST v2 mouse W (458 TFs, 2,866 edges); L2 adaptive rate_max=107.31; L3 production K=10/tol=1e-3 (22s, 4.37GB) vs tightened K=20/tol=1e-6 (68.6s, 4.10GB, batch 512 after OOM retry); CPU vs CUDA cosine min=0.99961; residual rel-L2 median=4.77e-4; PCA30-10d latent deviation declared	calc	validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	W edges 2,866 vs main 194,843; batch size 512 vs main protocol default 1024/256; comparability_note appended	open
B1_REGVELO_REF	benchmark	RegVelo reference comparison on 200-cell smoke test: SAVI L3 ran 0.71s; RegVelo training CUDA OOM at 11.47 GB before first epoch	literal	validation_Sparse_regvelo/results/B1_regvelo_reference/B1_result.json	Full 5k run not attempted due to smoke-test OOM; failure recorded as bounded-resource data	open
B2_SCALING	scaling	SAVI L3 scaling/failure curve: cell scaling 5k-75k (G=17714) linear runtime, gene scaling 5k-17k; peak GPU ~6.52 GB for full gene 1024-batch; scVelo competitor 37s@5k, 106s@10k; A1#13 5.82GB@5k and K20@bs1024 OOM merged	calc	validation_Sparse_regvelo/results/B2_scaling/B2_result.json	runtime: 5k=10.8s, 10k=20.8s, 25k=51.4s, 50k=113.4s, 75k=204.6s; gene: 5k=1.4s, 10k=3.8s, 17.7k=10.1s; fig6 generated	open
C050	Abstract	Scaling analysis shows near-linear runtime to 74,984 cells with cell-count-insensitive memory and transfer to an 18,213-cell dentate gyrus dataset	calc	validation_Sparse_regvelo/results/B2_scaling/B2_result.json; validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	cell runtime 10.8->204.6s, peak 6.52GB; B3 n_cells=18213, production_l3 ran	open
C051	§1	Contribution (5): scaling and cross-dataset generalization analysis demonstrating computational feasibility and portability	inference	validation_Sparse_regvelo/results/B2_scaling/B2_result.json; validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	B2 scaling success + B3 second dataset success	open
C052	§2.5	RegVelo 0.4.2 OOM at 17,714 genes (200-cell smoke test): 11.47 GB allocated, 14 MiB requested; dense GRN layer exceeds 12 GB	literal	validation_Sparse_regvelo/results/B1_regvelo_reference/B1_result.json	regvelo.error contains 11.47 GiB/14.00 MiB; oom_interpretation field	open
C053	§2.5	RegVelo OOM recurred at HVG5k (5,000 genes): 11.44 GB allocated, 192 MiB requested	literal	validation_Sparse_regvelo/results/B1_regvelo_reference/B1_result.json	reduced_space_comparison.status=regvelo_failed_hvg5k; error contains 192 MiB/11.44 GiB	open
C054	§2.5	SAVI L3 cell scaling runtimes 10.8/20.8/51.4/113.4/204.6 s and peak GPU 6.52 GB (cell-count insensitive)	calc	validation_Sparse_regvelo/results/B2_scaling/B2_result.json	scaling_runs type=cell runtime_sec; peak_gpu_gb=6.524 across all cell counts	open
C055	§2.5	SAVI L3 gene scaling runtimes 1.4/3.8/10.1 s; memory rises with gene count	calc	validation_Sparse_regvelo/results/B2_scaling/B2_result.json	scaling_runs type=gene runtime_sec 1.392/3.823/10.068	open
C056	§2.5	scVelo deterministic 37.1 s @5k and 106.3 s @10k on same hardware, no GRN constraint	literal	validation_Sparse_regvelo/results/B2_scaling/B2_result.json	competitor_runs scvelo n_cells=5000/10000 runtime_sec=37.055/106.273	open
C057	§2.5	A1#13 reference memory 5.82 GB @ (5000 cells, 17714 genes, K10, bs1024); K20/bs1024 OOM	literal	validation_Sparse_regvelo/results/B2_scaling/B2_result.json	a1_references peak_gpu_gb=5.82; status=OOM for K20 bs1024; figure_caption_note	open
C058	§3.10	Dentate gyrus dataset: 18,213 cells, 13,335 aligned genes, TRRUST v2 W 458 TFs / 2,866 edges, PCA30-10d latent	literal	validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	data_adaptation; w_stats; latent_source	open
C059	§3.10	B3 production L3 22.0 s / 4.37 GB; tightened K20 reference 68.6 s / 4.10 GB with batch 512 retry	literal	validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	l2_l3.production_l3; tightened_reference_l3	open
C060	§3.10	B3 residual vs tightened: rel-L2 median 4.77e-4, P99 1.32e-2, max 3.04e-2; cosine min 0.99964	literal	validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	l2_l3.tightened_reference_l3.residual_vs_tightened	open
C061	§3.10	B3 CPU/CUDA consistency: rel-L2 median 3.75e-4, max 3.13e-2, 507/18213 cells >1e-2, cosine min 0.99961	literal	validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	l2_l3.cpu_cuda_consistency; cpu_cuda_diagnosis.per_cell.relative_l2.n_above_1e-2	open
C062	§3.10	B3 CPU/CUDA deviation classified as FP32 non-associativity tail effect; configs/routes identical	inference	validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	cpu_cuda_diagnosis.classification=CONFIG_CONSISTENT+TAIL_EFFECT; config_check all true; route mismatch 0	open
C063	§3.10	B3 absolute residuals not comparable to main audit due to sparser TRRUST W and PCA latent	literal	validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	comparability_note; w_stats.edge_ratio_to_main=0.0147; latent_source=PCA30-10d	open
C064	§4 Limitations	RegVelo reference cannot instantiate dense GRN on ≤12 GB GPU; field-level equivalence not validated	inference	validation_Sparse_regvelo/results/B1_regvelo_reference/B1_result.json	B1 OOM at 17k and HVG5k; no velocity comparison produced	open
C065	§4 Limitations	veloVI not included due to environment dependency conflict / no pip install	literal	validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	grn_resources / install_notes list missing packages; no pip install per Plan B	open
C066	§4 Limitations	Second dataset W sparsity differs (2,866 vs 194,843 edges); residuals comparable only at numerical-discipline level	literal	validation_Sparse_regvelo/results/B3_dataset2/B3_result.json	w_stats.main_w_nnz=194843; nnz=2866; comparability_note	open
C067	§2.2bis/§4 Limitations	RegVelo kinetic parameters are exportable but not mappable to SAVI L3 inputs; clean L2/L3 fidelity decomposition is blocked because RegVelo uses per-cell latent-time modulation and a closed-form induction-time solution, while SAVI L3 expects static per-gene beta/gamma plus GRN-derived bias	literal/probe	validation_Sparse_regvelo/results/B1_regvelo_reference/B1_fidelity_probe/B1_fidelity_decomposition.json	B1_headtohead_diagnosis.md section 9	open
